x_axis,y_axis,z_axis
-14,1,238
-14,1,238
-14,1,238
-14,1,238
-14,1,238
-14,1,236
-14,1,236
-14,1,236
-14,1,236
-14,1,236
-14,1,236
-14,1,236
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,-3,234
-12,-3,234
-12,-3,234
-12,-3,234
-12,-3,234
-12,-3,234
-12,-2,236
-12,-2,236
-12,-2,236
-12,-2,236
-12,-2,236
-12,-2,236
-12,-2,238
-12,-2,238
-12,-2,238
-12,-2,238
-12,-2,238
-12,-2,238
-12,-2,238
-9,-4,233
-9,-4,233
-9,-4,233
-9,-4,233
-9,-4,233
-9,-4,233
-9,-4,233
-12,-3,233
-12,-3,233
-12,-3,233
-12,-3,233
-12,-3,233
-12,-3,233
-12,-3,233
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-11,-2,237
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-13,0,235
-13,0,235
-13,0,235
-13,0,235
-13,0,235
-13,0,235
-13,0,235
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-13,-1,238
-13,-1,238
-13,-1,238
-13,-1,238
-13,-1,238
-13,-1,238
-13,-1,238
-14,0,237
-14,0,237
-14,0,237
-14,0,237
-14,0,237
-14,0,237
-13,-1,236
-13,-1,236
-13,-1,236
-13,-1,236
-13,-1,236
-13,-1,236
-12,-1,241
-12,-1,241
-12,-1,241
-12,-1,241
-12,-1,241
-12,-1,241
-12,-1,241
-14,0,238
-14,0,238
-14,0,238
-14,0,238
-14,0,238
-14,0,238
-16,0,236
-16,0,236
-16,0,236
-16,0,236
-16,0,236
-16,0,236
-16,0,236
-11,-3,238
-11,-3,238
-11,-3,238
-11,-3,238
-11,-3,238
-11,-3,238
-13,-1,235
-13,-1,235
-13,-1,235
-13,-1,235
-13,-1,235
-13,-1,235
-11,-1,236
-11,-1,236
-11,-1,236
-11,-1,236
-11,-1,236
-11,-1,236
-11,-1,236
-9,-1,236
-9,-1,236
-9,-1,236
-9,-1,236
-9,-1,236
-9,-1,236
-9,-1,236
-12,-2,235
-12,-2,235
-12,-2,235
-12,-2,235
-12,-2,235
-12,-2,235
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-12,0,236
-11,-2,231
-11,-2,231
-11,-2,231
-11,-2,231
-11,-2,231
-11,-2,231
-12,-1,240
-12,-1,240
-12,-1,240
-12,-1,240
-12,-1,240
