nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)
x_axis,y_axis,z_axis
35,0,237
35,0,237
35,0,237
35,0,237
35,0,237
35,0,237
35,1,235
35,1,235
35,1,235
35,1,235
35,1,235
35,1,235
35,1,235
36,0,235
36,0,235
36,0,235
36,0,235
36,0,235
36,0,235
35,0,236
35,0,236
35,0,236
35,0,236
35,0,236
35,0,236
35,0,236
33,1,235
33,1,235
33,1,235
33,1,235
33,1,235
33,1,235
33,-2,234
36,-2,234
36,-2,234
36,-2,234
36,-2,234
36,-2,234
36,-2,234
36,-2,238
36,-2,238
36,-2,238
36,-2,238
36,-2,238
36,-2,238
37,1,237
37,1,237
37,1,237
37,1,237
37,1,237
37,1,237
37,1,237
34,0,236
34,0,236
34,0,236
34,0,236
34,0,236
34,0,236
34,0,236
36,1,236
36,1,236
36,1,236
36,1,236
36,1,236
36,1,236
39,0,235
39,0,235
39,0,235
39,0,235
39,0,235
39,0,235
39,0,235
37,-1,236
37,-1,236
37,-1,236
37,-1,236
37,-1,236
37,-1,236
35,0,234
35,0,234
35,0,234
35,0,234
35,0,234
35,0,234
35,0,236
34,0,236
34,0,236
34,0,
